Id,name
18,Quilting
19,Supplies
20,Gifts & Games
25,Sewing
31,Applique
32,Art Quilts
34,Blocks
44,Embroidery
45,Mixed Media
49,Crazy Quilting
50,Historical
51,Holiday
54,Modern
55,Hand & Machine Quilting
58,Pre-cuts
61,Sale
62,Reference Guides
66,Quilting Notions & Tools
68,Kids & Teens
69,Bags & Accessories
71,Dolls & Doll Clothing
72,Garments
73,Home Decor
75,Reference Guides
76,"Fairies, Softies & Toys"
87,Crazy Quilting
88,Embellishing
89,Hand Embroidery
90,Machine Embroidery
92,Silk Ribbon Embroidery
93,Reference Guides
94,Embroidery Notions & Tools
115,Interfacing
122,Rulers & Templates
123,Silicone Release Paper
127,Vinyl
134,Foundation & Paper
137,Wash-Away Stitch Stabilizer
146,Kids & Teens
151,Kids & Teens
154,Gift Certificates
155,Calendars
159,Playing Cards
160,Totes
175,Paper Piecing
176,Patchwork & Piecing
177,Patterns
188,Color & Design
212,Patterns
217,Wool
218,Upcycle
221,Coloring Books
233,Gift Guide
238,Gifts Under $30
247,For the Beginner Quilter
261,Temporary Tattoos
280,Shop Samples
281,Class Plans
284,Holiday
287,Free Projects
334,Free Motion Quilting
344,Blank Board Books
345,Color Tools
346,Embroidery Stencils
349,Lutradur
351,Quilt Labels
352,Color Tools
353,Stabilizer
354,Tools
355,Sewing Notions & Tools
356,Interfacing
357,Stabilizer
358,Tools
359,Vinyl
360,Rulerwork Quilting
362,Traditional
373,TAP Transfer Artist Paper
374,Scrap Quilts
375,Bags
376,Quilts
377,Sewing Accessories
378,Toys
379,kraft-tex
380,Holiday
381,Home Decor
382,TAP
383,Clothing Accessories
384,Embroidery
385,Reference Tools
386,Sewing
387,"Puzzles, Coloring & More"
389,Applique
392,Beads
396,Book Club & Reader's Guide
404,Recipe
410,DVDs
411,Beginner Resources
413,Beginning Sewing Resources
414,Beginning Quilting Resources
420,Beginning Embroidery Resources
421,FunStitch Studio Projects
432,Cosplay
433,Fiber Arts
446,Iron On Guides
447,Macramé
448,Felt and Wool Crafts
451,Dyeing & Printing
452,kraft-tex
453,Vintage
456,Basic
458,Designer
459,Books & Patterns
460,Free Projects
461,Punch Needle
462,Ribbonwork
470,"Fairies, Softies & Dolls"
472,Cross-Stitch
475,Wigs
476,Armor
477,Props
478,Foundations
479,Footwear
530,Home
531,Seasonal Titles
532,Best Sellers
533,eBooks and Downloads
535,New Releases
536,Coming Soon
537,Fiction
544,Patterns
548,Gifts Under $10
549,For the Beginner Embroider
550,For the Beginning Crafter
551,For the Beginner Sewist
552,Gifts Under $20
554,Wood Working
555,Leather
556,Jewelry Making
557,Clay
558,Watercolor
559,Candle Making
560,Featured
561,On hold for POD
562,Shop by Category
563,Stationary
564,Puzzles
565,Word Puzzle Books
566,Pencils
567,Planners
568,Notebooks
569,Pouches
570,Paper crafts
571,Tech Accessories
577,Featured Projects
579,Natural Crafts
580,Painting
581,Crochet
582,Acrylic
583,Paper making
584,Lingerie
585,Sashiko
586,Patterns
608,"Calendars, Date Keepers & More"
628,Coloring & Activity Books
638,Creative Spark Special Event
640,Posters
642,Double Boxing
643,Not Available
